NATUREZA;COD_NATUREZA
ESTUPRO;1
FURTO A TRANSEUNTE;2
ROUBO A TRANSEUNTE;3
ROUBO EM COLETIVO;4
ROUBO EM COMÉRCIO;5
ROUBO EM RESIDÊNCIA;6
HOMICÍDIO;7
ROUBO DE VEÍCULO;8
FURTO DE VEÍCULO;9
FURTO EM RESIDÊNCIA;10
TRÁFICO DE DROGAS;11
ROUBO EM INSTITUIÇÃO FINANCEIRA;12
TENTATIVA DE HOMICÍDIO;13
LESÃO CORPORAL E ROUBO;14
LESÃO CORPORAL E LATROCÍNIO;15
LESÃO CORPORAL;16
SEQUESTRO E CÁRCERE PRIVADO;17
ROUBO SEGUIDO DE MORTE (LATROCÍNIO);18
TENTATIVA DE LATROCÍNIO;19
FURTO EM COMÉRCIO;20
CÓDIGO PENAL MILITAR - LESÃO CORPORAL;21
CÓDIGO PENAL MILITAR - LESÃO CORPORAL E ROUBO;22
FURTO EM VEÍCULO;23
ROUBO OUTROS;24
CÓDIGO PENAL MILITAR - HOMICÍDIO;25
CÓDIGO PENAL MILITAR - ROUBO;26
LATROCÍNIO;27
LESÃO CORPORAL SEG. DE MORTE;28
LOCALIZAÇÃO DE VEICULO FURTADO OU ROUBADO;29
POSSE/PORTE DE ARMA;30
ROUBO EM COMÉRCIO;31
USO E PORTE DE DROGAS;32
